Signals-> 0 1 2 3 4 5    6    7    8   9   10  11  12  13   14 15 16 17 18 19 20    21 22 23 24 25 

sample

25        0 0 1 0 0 005h 005h 0F0h 00h 00h 00h 00h 00h 005h 0  0  0  1  0h 0  4A8Dh 0  1  0  0  0  
26        0 0 1 0 0 006h 006h 0F0h 00h 00h 00h 00h 00h 006h 0  0  0  1  0h 0  426Dh 0  1  0  0  0  
27        0 0 1 0 0 007h 007h 0F0h 00h 00h 00h 00h 00h 007h 0  0  0  1  0h 0  424Ch 0  1  0  0  0  
28        0 0 1 0 0 008h 008h 0F0h 00h 00h 00h 00h 00h 008h 0  0  0  1  0h 0  424Bh 0  1  0  0  0  
29        0 0 1 0 0 008h 008h 0F0h 00h 00h 00h 00h 00h 008h 0  0  0  1  0h 0  424Bh 0  1  0  0  0  
30        0 0 1 0 0 008h 008h 0F0h 00h 00h 00h 00h 00h 008h 0  0  0  1  0h 0  424Bh 0  1  0  0  0  
31        0 0 1 0 0 008h 008h 0F0h 00h 00h 00h 00h 00h 008h 0  0  0  1  0h 0  424Bh 0  1  0  0  0  
32        0 0 1 0 0 009h 009h 0F0h 00h 00h 00h 00h 00h 009h 0  0  0  1  0h 0  3A0Ah 0  1  0  0  0  
33        0 0 1 0 0 00Ah 00Ah 0F0h 00h 00h 00h 00h 00h 00Ah 0  0  0  1  0h 0  31E9h 0  1  0  0  0  
34        0 0 1 0 0 00Bh 00Bh 0F0h 00h 00h 00h 00h 00h 00Bh 0  0  0  1  0h 0  2967h 0  1  0  0  0  
35        0 0 1 0 0 00Ch 00Ch 0F0h 00h 00h 00h 00h 00h 00Ch 0  0  0  1  0h 0  18E5h 0  1  0  0  0  
36        0 0 1 0 0 00Dh 00Dh 0F0h 00h 00h 00h 00h 00h 00Dh 0  0  0  1  0h 0  1083h 0  1  0  0  0  
37        0 0 1 0 0 00Eh 00Eh 0F0h 00h 00h 00h 00h 00h 00Eh 0  0  0  1  0h 0  10A3h 0  1  0  0  0  
38        0 0 1 0 0 00Fh 00Fh 0F0h 00h 00h 00h 00h 00h 00Fh 0  0  0  1  0h 0  10A2h 0  1  0  0  0  
39        0 0 1 0 0 010h 010h 0F0h 00h 00h 00h 00h 00h 010h 0  0  0  1  0h 0  10A2h 0  1  0  0  0  
40        0 0 1 0 0 010h 010h 0F0h 00h 00h 00h 00h 00h 010h 0  0  0  1  0h 0  10A2h 0  1  0  0  0  
41        0 0 1 0 0 010h 010h 0F0h 00h 00h 00h 00h 00h 010h 0  0  0  1  0h 0  10A2h 0  1  0  0  0  
42        0 0 1 0 0 010h 010h 0F0h 00h 00h 00h 00h 00h 010h 0  0  0  1  0h 0  10A2h 0  1  0  0  0  
43        0 0 1 0 0 011h 011h 0F0h 00h 00h 00h 00h 00h 011h 0  0  0  1  0h 0  10C3h 0  1  0  0  0  
44        0 0 1 0 0 012h 012h 0F0h 00h 00h 00h 00h 00h 012h 0  0  0  1  0h 0  10C3h 0  1  0  0  0  
45        0 0 1 0 0 013h 013h 0F0h 00h 00h 00h 00h 00h 013h 0  0  0  1  0h 0  10C4h 0  1  0  0  0  
46        0 0 1 0 0 014h 014h 0F0h 00h 00h 00h 00h 00h 014h 0  0  0  1  0h 0  18E5h 0  1  0  0  0  
